Item,Area,Year,AreaHarvested,Production,Yield,Price,ExportQuantity,ExportValue,ImportQuantity,ImportValue,RuralPopulation,UrbanPopulation,TotalPopulation,GrossNationalIncome
Rice,LaoPeople'sDemocraticRepublic,1967,960000.00,811000.00,8448.00,,,,87988.00,12148.00,2326.89,229.96,2551.07,
Rice,LaoPeople'sDemocraticRepublic,1968,656000.00,771000.00,11753.00,,,,60985.00,7008.00,2376.62,243.81,2612.11,
Rice,LaoPeople'sDemocraticRepublic,1969,664773.00,895503.00,13471.00,,,,42751.00,4420.00,2429.68,258.75,2675.28,44.52
Rice,LaoPeople'sDemocraticRepublic,1970,664693.00,903231.00,13589.00,,,,69519.00,3892.00,2487.29,274.98,2740.73,47.94
Rice,LaoPeople'sDemocraticRepublic,1971,664770.00,811284.00,12204.00,,,,65462.00,8294.00,2548.37,292.47,2808.29,50.49
Rice,LaoPeople'sDemocraticRepublic,1972,664790.00,816830.00,12287.00,,,,82218.00,6937.00,2609.93,309.36,2877.56,56.52
Rice,LaoPeople'sDemocraticRepublic,1973,664800.00,883510.00,13290.00,,,,67937.00,9890.00,2666.84,324.12,2946.88,62.34
Rice,LaoPeople'sDemocraticRepublic,1974,685900.00,904714.00,13190.00,,,,50519.00,12729.00,2713.43,338.15,3012.72,71.07
Rice,LaoPeople'sDemocraticRepublic,1975,680000.00,910000.00,13382.00,,,,22210.00,6943.00,2747.84,351.13,3072.02,75.71
Rice,LaoPeople'sDemocraticRepublic,1976,524564.00,660938.00,12600.00,,,,45000.00,10125.00,2772.58,363.26,3125.74,77.46
Rice,LaoPeople'sDemocraticRepublic,1977,561100.00,692700.00,12345.00,,,,100000.00,28000.00,2793.55,375.29,3177.95,82.36
Rice,LaoPeople'sDemocraticRepublic,1978,578500.00,723800.00,12512.00,,,,135000.00,46000.00,2819.01,388.32,3233.70,85.90
Rice,LaoPeople'sDemocraticRepublic,1979,689300.00,866940.00,12577.00,,,,115000.00,46000.00,2854.90,403.25,3297.52,101.03
Rice,LaoPeople'sDemocraticRepublic,1980,732050.00,1053097.00,14386.00,,,,1000.00,430.00,2902.96,420.42,3370.99,124.77
Rice,LaoPeople'sDemocraticRepublic,1981,745062.00,1154665.00,15498.00,,,,50000.00,24000.00,2961.47,439.77,3453.69,138.47
Rice,LaoPeople'sDemocraticRepublic,1982,736812.00,1092350.00,14825.00,,,,18000.00,8000.00,3028.80,461.17,3543.86,146.80
Rice,LaoPeople'sDemocraticRepublic,1983,694347.00,1100587.00,15851.00,,,,26500.00,7800.00,3102.06,484.32,3639.96,158.69
Rice,LaoPeople'sDemocraticRepublic,1984,655095.00,1321096.00,20166.00,,,,38000.00,8300.00,3178.83,509.07,3741.60,167.34
